department,Name of Project,GPS reading,Project Cost,Ward,Site,contracted company,project start date,expected date of complition,payment done to date,outstanding amount,level of complition,is project in use? yes/no,remarks/Observations,
Water Irrigation and Agriculture,Kakuma Water Pan,0,"9,120,105",Kakuma Ward,Kakuma,Kaliou Enterprise Ltd,,,,,,No,"Stalled at 31%, dozer not on site",
Water Irrigation and Agriculture,Lopur Waterpan,0,"9,224,900",Lopur Ward,Lopur,Kotome Building And Enterprise Ltd,,,,,,No,Contractor yet to request for assessment to be done,
Water Irrigation and Agriculture,Lomosingekori Waterpan,0,"9,408,760",Letea Ward,Letea Village,Kochodae Building Construction Ltd,,,,,60%,No,The contractor is yet to make arrangement for assessment to be done.,
Water Irrigation and Agriculture,Nataparelim Waterpan,0,"9,125,600",Kalobeyei Ward,Nataparelim,Morutena Investment Ltd,,,,,59%,No,"Stalled, dozer not on site",
Water Irrigation and Agriculture,Nariemeto Waterpan,0,"9,259,310",Songot Ward,Naremeto,Nawasin Co Ltd,,,,,38%,No,"Stalled, dozer on site but believed to be spoilt and not in working condition.",
Water Irrigation and Agriculture,Kapetadie Water Supply,0,"20,000",Nanam Ward,Nanam Village,Ministry Staff,,,,,,No,"Not operational, insecurity",
Water Irrigation and Agriculture,Arengoit Borehole,0,"2,229,990",Lokichogio Ward,,Bon Borehole Drillers,,,,,,,"Another site has been surveyed, the office to support the contractor to drill a replacement.",
Water Irrigation and Agriculture,Naiperkar Borehole,0,"2,700,000",Songot Ward,Naiperkar,Tiwae Investment Co Ltd,,,,,,No,The borehole equiped with handpump but will be equiped with agenset. Design works complete,
Water Irrigation and Agriculture,Natir-Lokangae Borehole,0,"2,620,800",Songot Ward,Lokangae,Ekanyarit Cons Supplies,,,,,,No,"Another site has been surveyed, the office to support the contractor to drill a replacement.",
Water Irrigation and Agriculture,Lokabuk Borehole,0,"2,538,900",Kalobeyei Ward,Lokabuk,Eitanit Consultancy And Drilling,,,,,,No,"Another site has been surveyed, the office to support the contractor to drill a replacement.",
Water Irrigation and Agriculture,Lopuski Borehole,0,"2,291,100",Lopur Ward,Lopur,Hussen Hand Pumps Repairs,,,,,,No,Bore hole collapsed. The office to support the contractor to drill a replacement borehole,
Water Irrigation and Agriculture,Nakoyo Borehole,0,"2,620,800",Lopur Ward,Nakoyo,Solar Tech Company,,,,,,No,"Dry, the contractor supported to drill a replacement borehole where the office has surveyed",
Water Irrigation and Agriculture,"Nakiteng,O Borehole",0,"2,635,269",Letea Ward,"Nakiteng,O",Baraka Contractors,,,,,,No,The office has planned to equip the boreholes in the first and second week of december,
Water Irrigation and Agriculture,Loitasonyok Borehole,0,"2,620,800",Letea Ward,Loita Sonyok Village,Mt Pelekech Contractors,,,,,,No,The office has planned to equip the borhole in december 2015,
Water Irrigation and Agriculture,"Natiir Nadung,A Borehole",0,"2,700,000",Kakuma Ward,Natiir,Lopiding Building And Construction Ltd,,,,,,No,Drilling complete yet to equip the borehole,
Water Irrigation and Agriculture,Natiir Asekon Borehole,0,"2,457,630",Kakuma Ward,Natiirasekon,Rasabana Enterprise Ltd,,,,,,No,Drilling complete. The office is planning to equip the borehole in december 2015,
Water Irrigation and Agriculture,Kalobeyei Borehole,0,"2,175,000",Kalobeyei Ward,Kalobeyei,Lorengesinyen Company Ltd,,,,,,No,Drilling complete. The office is planning to equip the borehole in december 2015,
Water Irrigation and Agriculture,Letea Borehole,0,"2,560,000",Letea Ward,Letea Village,Mayandakimonent,,,,,,No,Drilling complete. The office is planning to equip the borehole in december 2015,
Water Irrigation and Agriculture,Kipeto Borehole,0,"2,206,000",Songot Ward,Kipeto,Turkana Quarry Services,,,,,,No,Drilling on going,
Water Irrigation and Agriculture,Mogilla Borehole,0,"2,240,000",Nanam Ward,Nanam Village,Sagal Petrol Station,,,,,,No,Drilling complete. The office is planning to equip the borehole in december 2015,
Water Irrigation and Agriculture,Lopur (Komunyaate) Borehole,0,"2,250,000",Lopur Ward,Komunyaate,Nabek Const And Supplies Ltd,,,,,,No,"Ongoing, the office has planned to equip the borehole in december",
Water Irrigation and Agriculture,Naporoto Sand Dam,0,"9,669,516",Kalobeyei Ward,Naporoto,Lomidat Constr Co Ltd,,,,,,No,"Stalled, the office has served the contractor with a difault notice",
Water Irrigation and Agriculture,Kochomin Rock Catchment,0,"6,284,300",Lokichogio Ward,Kochomin,Ngilopechek Inv Co Ltd,,,,,,No,"Stalled, the office has served the contractor with a difault notice",
Water Irrigation and Agriculture,Lomidat Rock Catchment,0,"8,114,380",Songot,Lomidat,Ekaburu Construction Co Ltd,,,,,,No,"Stalled, the office has served the contractor with a difault notice",
Water Irrigation and Agriculture,Improvement Of Kalobeyei Water Supply,0,"500,000",Kalobeyei Ward,Kalobeyei,To Be Sourced After Evaluation,,,,,,,,
Water Irrigation and Agriculture,Construction Of Napeikar Water Supply,0,"7,000,000",Songot Ward,Napeikar,To Be Sourced After Evaluation,,,,,,,,
Water Irrigation and Agriculture,Ngeu Borehole Fy 2013/14,0,"2,859,150",Katilia,,,,,,"2,859,150.00",,,,
Water Irrigation and Agriculture,Site No. 1 Fy 2013/14,0,"2,359,000",Katilia,,,,,,"2,359,000.35",,,,
Water Irrigation and Agriculture,Kamuge Borehole Fy 2013/14,0,"2,549,000",Lomelo/Napeitom,,,,,,"2,549,000.40",,,The team could not visit the site for security reasons. The committee rocommended the team to visit the projects.,
Water Irrigation and Agriculture,Kakitei Borehole Fy 2013/14,0,"2,481,700",Lomelo/Napeitom,,,,,,"2,481,700.00",,,The team could not visit the site for security reasons. The committee rocommended the team to visit the projects.,
Water Irrigation and Agriculture,Lomelo/Napeitom Water Pan Fy 2014/15,0,"9,622,084",Lomelo/Napeitom,,Bellaack General Con & Suppliers Ltd,,,,"9,622,084.00",50%,No,The team could not visit the site for security reasons. Information from water department states that the pan stalled at 50% intended volume of work due to breaking down of the doozer. The committee rocommended the team to visit the projects.,
Water Irrigation and Agriculture,Equiping Of AIC Mission Compound Borehole FY 2015/16,0,7-8 Million (Estimates),Lokori/Kochodin,Lokori Aic Mission,In Tender,N/A,N/A,N/A,N/A,0%,No,Tender advertised and opened. Evaluation and awarding to be done before 2015 Christmas break (Information from the Department of Water).,
Water Irrigation and Agriculture,Flushing And Testing Of Lomelo And Napeitom Boreholes FY 2015/16,0,"2,500,000",Lomelo/Napeitom,Lomelo And Kapedo,Bon Drillers,,,,,,No,"Samples taken to laboratory. Survey/consultancy work on-going to inform the construction of desalination plants in both Lomelo and Kapedo. Intended beneficiaries are 4,000 (Information from the Department of Water).",
Water Irrigation and Agriculture,Supply Of Water Tanks At Lomelo FY 2015/16,0,"624,000",Lomelo/Napeitom,Lomelo,Koibos General Contractors,,,,,,No,2No. 10M³ plastic tanks supplied and installed. 500No. 20-Ltrs Jeericans and 500 Kg Chlorine were to be supplied.(Information from the Department of Water).,
Water Irrigation and Agriculture,Drilling Of Boreholes FY 2015/16,0,16-17 Million (Estimates),"Lokori/Kochodin, Lomelo/Napeitom And Katilia",,In Tender,N/A,N/A,N/A,N/A,0%,No,Tender advertised and opened. Evaluation and awarding to be done before 2015 Christmas break (Information from the Department of Water).,
Water Irrigation and Agriculture,Drilling And Equiping Of Napeitom Borehole.,0,"2,465,000",Lomelo/Napeitom,Ngatieket,Echami Turkana Company,,,,,,,Equiping is subject to water quality report which has not been supplied by the contractor. (Information from the Department of Water).,
Water Irrigation and Agriculture,Equiping Of Morulem Secondary Borehole With Solar Pump.,0,"1,928,000",Lokori/Kochodin,Morulem,Fountain VENT,,,,,,,Solar pump installed. Piping and construction of the water was to be done and LSO had already been issued. (Information from the Department of Water).,
Water Irrigation and Agriculture,Drilling And Equiping Of Kamuge Borehole,0,"2,549,000",Lomelo/Napeitom,Kamuge,Silale Investment Co Ltd,N/A,N/A,N/A,N/A,0%,No,Not yet drilled. Rig failed to reach site because of steep hill. Contractor requested to source capable driller. (Information from the Department of Water).,
Water Irrigation and Agriculture,Drilling And Equiping Of Nadoto Borehole,0,"2,473,905",Lokori/Kochodin,Nadoto,Parakati Con Co Ltd,,,,,,,Borehole drilled but dry. Contractor requested to look for an alternative site. (Information from the Department of Water).,
Water Irrigation and Agriculture,Construction Of Losajait Water Pan,0,"10,070,482",Nakalale,Losajait,Ekanyarit Atoo Entr.,,,,,,,"The team could not visit the site because of the rains and time constraint, the team to revisit the site.",
Water Irrigation and Agriculture,Construction Of Kanakurudio Water Pan,0,"8,406,930",Kaeris Ward,Kanakurudio,Miembo Con Suppliers Ltd.,,,,,,,"The team could not visit the site because of the rains and time constraint, the team to revisit the site.",
Water Irrigation and Agriculture,Kalochanapus Water Pan,0,"9,504,360",Kaaleng/Kaikor,Kalochanapus,Ledo Con & Suppliers,,,,,,,"The team could not visit the site because of the rains and time constraint, the team to revisit the site.",
Water Irrigation and Agriculture,Flushing Of 2 No.Boreholes And Test Pumping Kariobok Borehole,0,"450,000",Nakalale,,,,,,,,No,Under procurement process,
Water Irrigation and Agriculture,Equiping Of Locherengan Borehole With Submersible,0,"280,000",Lapur,,,,,,,,No,Under procurement process,
Water Irrigation and Agriculture,Iprovement Of Kataboi Water Supply,0,"2,000,000",Lakezone,Kataboi,To Be Sourced Through Raising Quotations,,,,,,No,Under procurement process,
Water Irrigation and Agriculture,Improvement Of Lokitaung Water Supply,0,7000000 (Estimate),Lapur,Lokitaung,,,,,,,No,Under procurement process,
Water Irrigation and Agriculture,Improvement Of Kibish Water Supply,0,7000000 (Estimate),Kibish Ward,Kibish,,,,,,,No,Under procurement process,
Water Irrigation and Agriculture,Improvement Of Nachukui Water Supply,0,5000000 (Estimate),Nachukui,,,,,,,,No,Under procurement process,
Water Irrigation and Agriculture,Improvement Of Loarengak Water Supply,0,5000000 (Estimate),Loarengak,Loarengak,,,,,,,No,Under procurement process,
Water Irrigation and Agriculture,Kaaleng Waterpan,0,,Kaaleng/Kaikor,Natudao,,,,,,,No,"The team could not visit the site because of the rains and time constraint, the team to revisit the site.",
HEALTH AND SANITATION,Loreng Dispensary 2014/2015,0,"7,322,532",Letea Ward,Loreng,Nakwama gen contractors,,,"5,125,722.00","2,196,810.00",80%,,"Team unable to reach site due to security concerns. Dispensary complete, staff house at roofing level, the contractor on site as informed by the ward admin",
HEALTH AND SANITATION,Kaameyan Dispensary 2014/2015,0,"7,500,000",Letea Ward,Kaameyan,Ng'ilopechek Invest LTD,,,"7,500,000.00",-,80%,No,"The contractor is onsite, doing plumbing and ceiling. Project ready for commissioning.",
HEALTH AND SANITATION,Lomelo Dispensary FY 2013/14,0,"9,800,000",Lomelo/Napeitom,,,14-Jun,15-May,,"9,800,000.00",,,The team could not visit the site for security reasons. The committee rocommended the team to visit the project.,
HEALTH AND SANITATION,Napeitom Dispensary FY 2014/15,0,"7,400,902",Lomelo/Napeitom,,,,,,"7,400,902.00",,,The team could not visit the site for security reasons. The committee rocommended the team to visit the project.,
HEALTH AND SANITATION,Nakatongwa Dispensary,0,"7,650,600",,,Joeli Contractors,,,,"7,650,600.00",,,The team could not trace exact location of the dispensary.,
HEALTH AND SANITATION,Kikeunae Dispensary,0,"7,411,320",,,Ngapenderee,,,,"7,411,320.00",,,,
HEALTH AND SANITATION,Lomunyan Akwaan Dispensary,0,,,,,,,,-,,,,
HEALTH AND SANITATION,Kokuro dispensary 2013/2014,0,"9,800,000",Lapur,Kokuro,moru koki & sons contractors,,,"7,241,268.00",-,100%,yes,The project is complete and in use,
HEALTH AND SANITATION,Lopur Dispensary 2014/2015,0,"7,506,256",Lakezone,Lapur,Lakezone investment limited,14-Jun,15-May,"7,506,256.00",-,100%,no,"The team could not visit the site because of the rains and time constraint, the team to revisit the site.",
"EDUCATION, CULTURE AND SOCIAL SERVICES",LORENG ECD 13/14,0,,Letea,Loreng Village,,,,,-,,No,"The team could not visit the site because of the rains and time constraint, the team to revisit the site.",
"EDUCATION, CULTURE AND SOCIAL SERVICES",LOKIPOTO ECD 14/15,0,"5,951,612",Letea,Lokipoto,Choroi Inv Ltd,15-May,16-Feb,"1,785,483.60","4,166,128.40",0%,No,"The team could not visit the site because of the rains and time constraint, the team to revisit the site.",
"EDUCATION, CULTURE AND SOCIAL SERVICES",TULABALANY ECD 13/14,0,"3,500,000",Letea,Tulabalany,Kakuma Building Entreprises,,,,"3,500,000.00",100%,Yes,"The team could not visit the site because of the rains and time constraint, the team to revisit the site.",
"EDUCATION, CULTURE AND SOCIAL SERVICES",Akoros Loritit ECD 13/14,0,,Letea,Akoros,Kakuma Building Entreprises,,,,-,100%,Yes,"The team could not visit the site because of the rains and time constraint, the team to revisit the site.",
"EDUCATION, CULTURE AND SOCIAL SERVICES",Musug ECD 2014/2015,0,"6,000,000",Letea Ward,,Kakuma Building Entreprises,15-May,16-Feb,"3,600,000.00","2,400,000.00",,,,
"EDUCATION, CULTURE AND SOCIAL SERVICES",Construction of Napeitom ECD FY 2013/14,0,"3,500,000",Kapedo/Napeitom,,,14-Jan,14-Apr,,"3,500,000.00",,,The team could not visit the site for security reasons. The committee rocommended the team to visit the projects.,
"EDUCATION, CULTURE AND SOCIAL SERVICES",Construction of Kapedo ECD FY 2013/14,0,"3,500,000",Kapedo/Napeitom,Kapedo,Silale Investment Ltd,14-Jan,14-Apr,,"3,500,000.00",,,The team could not visit the site for security reasons. The committee rocommended the team to visit the projects.,
"EDUCATION, CULTURE AND SOCIAL SERVICES",Construction of Lokidongoi ECD FY 2014/15,0,"6,000,000",Kapedo/Napeitom,,,15-May,16-Feb,,"6,000,000.00",,,The team could not visit the site for security reasons. The committee rocommended the team to visit the projects.,
"EDUCATION, CULTURE AND SOCIAL SERVICES",Construction of Silale ECD FY 2014/15,0,"6,000,000",Kapedo/Napeitom,,,15-May,16-Feb,,"6,000,000.00",,,The team could not visit the site for security reasons. The committee rocommended the team to visit the projects.,
"ROADS, PUBLIC WORKS, ICT AND TRANSPORT",Nakitongo Lokipoto- Nawotom,0,"4,591,860",Letea Ward,Lokipoto,Loyoro Investment,1st july 15,31st july 2015,,,100%,Yes,Was done and is complete,
"ROADS, PUBLIC WORKS, ICT AND TRANSPORT",Lopwarin Drift,0,"18,282,765",Nanam Ward,Lopwarin,Turkana Engineering Co Ltd,,,,,0%,No,The drift has not been done as confirmed by the community. The team could not access site due to prosopis,
"ROADS, PUBLIC WORKS, ICT AND TRANSPORT",A1 nadal village- moruangibuin road,0,"4,616,800",Kakuma Ward,Moruangibuin,Lochorekope,,,,,,,,
"ROADS, PUBLIC WORKS, ICT AND TRANSPORT",Lotudae-Kaesamalit Road,0,"3,125,040",Katilia,Lotudae-Kaesamalit,Jekanas Contractors & Supplies Company Ltd.,,,"2,187,528.00","937,512.00",100%,Yes,The team could not locate the road but the information from the Department states that the project is complete.,
"ROADS, PUBLIC WORKS, ICT AND TRANSPORT",Kamuge Drift,0,"7,004,399",Lomelo/Napeitom,Kamuge,Suguta Building Contractors & Transporters Co Ltd,,,"2,101,319.70","4,903,079.30",,,"The team could not visit the site for security reasons. However, information from the department states that the project is on-going.",
"ROADS, PUBLIC WORKS, ICT AND TRANSPORT",Kamuge - Baragoi FY 2013/14,0,"12,876,400",Lomelo/Napeitom,Kamuge - Baragoi,,,,,"12,876,400.00",,,The team could not visit the site for security reasons. The committee rocommended the team to visit the projects.,
"ROADS, PUBLIC WORKS, ICT AND TRANSPORT",Lokori - Paragati FY 2013/14,0,"7,934,400",Lokori/Kochodin,Lokori - Paragati,,,,,"7,934,400.00",,,The team could not visit the site for security reasons. The committee rocommended the team to visit the projects.,
"ROADS, PUBLIC WORKS, ICT AND TRANSPORT",Lomelo - Kamuge FY 2013/14,0,"11,564,040",Lomelo/Napeitom,Lomelo - Kamuge,,,,,"11,564,040.00",,,The team could not visit the site for security reasons. The committee rocommended the team to visit the projects.,
"ROADS, PUBLIC WORKS, ICT AND TRANSPORT",Kamuge - Baragoi FY 2014/15,0,"4,902,160",Lomelo/Napeitom,Kamuge - Baragoi,Nakuru Machinery,,,"1,960,864.00","2,941,296.00",,,The team could not visit the site for security reasons. The committee rocommended the team to visit the projects.,
"ROADS, PUBLIC WORKS, ICT AND TRANSPORT",Lokamarinyang - Soya road 2014/2015,0,"6,722,102",Kibish,,Inyang General Suppliers Ltd.,,,,,,,,
"ROADS, PUBLIC WORKS, ICT AND TRANSPORT",nakalale-nabuskaal-kairima road 2014/2015,0,"3,580,920",,,,,,,,,,,
"ROADS, PUBLIC WORKS, ICT AND TRANSPORT",Koyasa-Natelo-Natapar 2013/2014,0,"9,404,700",,,,,,,,,,,
"ROADS, PUBLIC WORKS, ICT AND TRANSPORT",Kataboi-Lopur 2013/2014,0,"5,215,800",,,,,,,,,,,
"ROADS, PUBLIC WORKS, ICT AND TRANSPORT",Kaimothia-kibish 2013/2014,0,"23,658,707",Kibish,,,,,,,,,,
"ROADS, PUBLIC WORKS, ICT AND TRANSPORT",Kaikor-Lokiyoto-Loruth Road,0,"3,641,890",Kibish,,Synchtolyte Gen.Contractors Ltd.,,,,,,,,
PASTORAL ECONOMY AND FISHERIES,Kaaleng Animal Feed Reserve Store,0,"9,599,986",Kaaleng/Kaikor,Kaaleng,Nyai Const Co Ltd,,,"9,599,986.00",0,100%,No,Project complete and ready for commissioning,
"ENERGY, ENVIRONMENT AND NATURAL RESOURCES",Letea Primary School Solar Installation Project,0,,Letea Ward,Letea Primary School,Olam Building And Construction,box 33-30501 kakuma,15-Jan,15-Jul,,,100%,Yes,Project complete
"ENERGY, ENVIRONMENT AND NATURAL RESOURCES",Teremkus Tree Nursery,0,,Songot Ward,Teremkus,Kotome Building And Enterprises,,,,,,50%,No,There is no functional nursery yet. Works not done to specification. Suppliers paid fully but the materials have not been supplied fully. The client ministry to make follow up.
"ENERGY, ENVIRONMENT AND NATURAL RESOURCES",Letea Tree Nursery,0,,Letea Ward,Letea,Kotome Building And Enterprises,,,,,,50%,No,There is no functional nursery yet. Works not done to specification. Suppliers paid fully but the materials have not been supplied fully. The client ministry to make follow up.
"ENERGY, ENVIRONMENT AND NATURAL RESOURCES",Nanam Ward Tree Nursery,0,,Nanam Ward,,Kotome Building And Enterprises,,,,,,0%,No,The team could not find the tree nursery
"ENERGY, ENVIRONMENT AND NATURAL RESOURCES",Lokichogio Ward Tree Nursery,0,,Lokichogio Ward,,Kotome Building And Enterprises,,,,,,0%,No,The team could not find the tree nursery
"ENERGY, ENVIRONMENT AND NATURAL RESOURCES",Solar Installation-Naduat Primary School 2014/15,N 03° 30.709' E 035° 12.118' /696 M,,Nakalale,Naduat,Lokitaung Contractors,,15-Jan,15-Jul,,,100%,Yes,Operational
"ROADS, PUBLIC WORKS, ICT AND TRANSPORT",losajait-naurugori road,N 03° 30.751' E 035° 11.099' /680 M,"1,641,740",Nakalale,Losajait,Natedelim Construction Ltd.,42044,42259,,,1,Yes,"Opeational,signage done",
"ROADS, PUBLIC WORKS, ICT AND TRANSPORT",lokichar-loruth road,N 03° 30.905' E 035° 13.350' /700 M,"3,380,000",Nakalale,Loruth,Kalemchuch Contractors,42044,42216,,0,1,Yes,"Operational,signage done",
"ENERGY, ENVIRONMENT AND NATURAL RESOURCES",Solar Installation -Makutano Health Center,N 03° 31.078' E 035° 13.516' /711M,,Nakalale,Makutano Gold Junction,Lokitaung Contractors,,,,,,100%,Yes,Operational
"ROADS, PUBLIC WORKS, ICT AND TRANSPORT",Spot improvement Makutano-Lokitaung road A,N 03° 32.581' E 035° 14.874' /693 M,"24,985,820",Nakalale,Makutano Lokitaung Road,,42044,42164,,,1,Yes,"Operational,signage done",
"ENERGY, ENVIRONMENT AND NATURAL RESOURCES",Solar Installation -Losajait Primary School,N 03° 37.405' E 035° 18.543' /648 M,,Nakalale,Losajait,Lokitaung Contractors,,15-Jan,15-Jul,,,100%,Yes,Operational
"ENERGY, ENVIRONMENT AND NATURAL RESOURCES",Losajait Tree Nursery,N 03° 37.424' E 035° 18.549' /644 M,,Nakalale,Losajait,,,,,,,30%,No,"There is no functional nursery yet, works not done to specification suppliers paid fully. The entire contract was ambiguous. Client ministry to follow up"
"ROADS, PUBLIC WORKS, ICT AND TRANSPORT",nakapelekuruk-nadunga road 2014/2015,N 03° 43.391' E 035° 20.371' /656 M,"2,847,800",Kaeris,Nakapelkuruk,Moru Edou Investment,42044,42216,,,1,Yes,"Poorly done,entry ok,a few kilometres shoddy",
"EDUCATION, CULTURE AND SOCIAL SERVICES",kataboi youth polytechnic 2014/15,N 03° 45.117' E 035° 48.541' /409 M,"9,771,782",Lakezone,Kataboi,Katiko Investments,,,"5,863,069.20","3,908,712.80",80%,No,Project is on-going.workers on site.project manager to check on pit latrine and mortar jointings,
"EDUCATION, CULTURE AND SOCIAL SERVICES",Lokitoe angabeur ecd 2013/14,N 03° 46.587' E 035° 49.550' /388 M,"3,500,000",Lakezone,Lokitoe Angaber,Kerman Company,,,"3,500,000.00",-,80%,No,Project abandoned at finishes stage.client to liase with project manager,
"EDUCATION, CULTURE AND SOCIAL SERVICES",Kalosep ecd 2014/15,N 03° 49.093' E 035° 48.170' /419 M,"6,000,000",Lakezone,Kalosep,Nasechabuin Co Ltd,15-May,16-Feb,"5,400,000.00","600,000.00",90%,No,"Pit latrine,gate,painting and dinning windows outstanding",
"EDUCATION, CULTURE AND SOCIAL SERVICES",Construction of new ECD at Ngaurenderia 2014/2015,N 03° 56.764' E 035° 15.307' /569 M,"6,000,000",Kaeris,Nadunga,Musuk Company,15-May,16-Feb,"6,000,000.00",-,100%,Yes,Project complete ready for commissioning,
"ENERGY, ENVIRONMENT AND NATURAL RESOURCES",Solar Installation -Nadunga Primary School,N 03° 57.132' E 035° 18.349' /601 M,,Kaeris,Nadunga,Lokitaung Contractors,,15-Jan,15-Jul,,,100%,Yes,Operational
"ROADS, PUBLIC WORKS, ICT AND TRANSPORT",nadunga-lochor atesiro road 2014/2015,N 03° 57.907' E 035° 15.452' /565 M,,Kaeris,Nadunga,Kalemchuch Contractors,41878,41970,,,0.95,Yes,Operational,
"ENERGY, ENVIRONMENT AND NATURAL RESOURCES",Solar Installation -Kaeris Girls Secondary School,N 03° 59.063' E 035° 28.565' /692 M,,Kaeris,Kaeris,Lokitaung Contractors,,15-Jan,15-Jul,,,100%,Yes,Operational
"ENERGY, ENVIRONMENT AND NATURAL RESOURCES",Kaeris Tree Nursery,N 03° 59.192' E 035° 27.969' /667,,Kaeris,Kaeris,,,,,,,30%,No,There is no functional nursery yet. Works not done to specification. Suppliers paid fully. The entire contract was ambiguous. Client ministry to follow up
"EDUCATION, CULTURE AND SOCIAL SERVICES",Construction of ECD at Kangakipur,N 04° 01.951' E 035° 29.254' /696 M,"3,500,000",Kaeris,Kanagkipur,Loitangole Investment,,,"3,500,000.00",-,100%,Yes,"Project is complete,minor defects to be addresed by the client",
"ROADS, PUBLIC WORKS, ICT AND TRANSPORT",nachukui-narikiotome-lokapetamoe road 2014/2015,N 04° 04.194' E 035° 53.067' /382 M,"1,911,888",Lakezone,Nachukui,Lokwairia Enterprises Ltd.,42208,42300,,,1,Yes,Operational,
"ROADS, PUBLIC WORKS, ICT AND TRANSPORT",riokomor-narengewoi road 2014/2015,N 04° 06.385' E 035° 43.217' /552 M,"2,265,480",Lapur,Riokomor,Nangorikitoe Investment,42044,42216,,,100%,Yes,Operational,
"ENERGY, ENVIRONMENT AND NATURAL RESOURCES",Solar Installation - Riokomor Primary,N 04° 06.714' E 035° 43.159' /560 M,,Lapur,Riokomor,Lokitaung Contractors,,15-Jan,15-Jul,,,100%,Yes,Operational
"EDUCATION, CULTURE AND SOCIAL SERVICES",Mlima tatu ecd 2013/2014,N 04° 08.584' E 035° 28.136' /678 M,"3,500,000",Kaeris,Mlima Tatu,,,,"3,500,000.00",-,100%,Yes,Project complete and recomended for additional work,
"EDUCATION, CULTURE AND SOCIAL SERVICES",namorotot ecd 2013/14,N 04° 11.025' E 035° 54.098' /306M,"3,500,000",Lakezone,Nadoupuwa,Hakika Foundation,,,,"3,500,000.00",60%,No,Project is abandoned. Notable poor workmanship with collapsing walls.client to follow up with the project manager urgently (was not involved in the initial management of the project),
"ROADS, PUBLIC WORKS, ICT AND TRANSPORT",Spot improvement Makutano-Lokitaung road A 2014/2015,N 04° 12.781' E 035° 28.136' /680 M,"25,641,800",Nakalale,Makutano Lokitaung Road,Kalemchuch Contractors,42044,42216,,,1,Yes,Operational,
"ENERGY, ENVIRONMENT AND NATURAL RESOURCES",Lokitaung Tree Nursery,N 04° 16.396' E 035° 44.779' /744 M,,Lapur,Lokitaung,,,,,,,30%,Not in use,"Fence erected, no sign of nursery trees, no water tank, beneath wire open"
"ENERGY, ENVIRONMENT AND NATURAL RESOURCES",lakezone tree nursery,N 04° 16.849' E 035° 53.584' /386 M,,Lakezone,Loarengak,,,,,,,30%,Not in use,"Fence erected, no sign of nursery trees, no water tank,0.4044 acres"
"EDUCATION, CULTURE AND SOCIAL SERVICES",Nabeletakoit ecd 2014/15,N 04° 18.203' E 035° 53.518' /387 M,"6,000,000",Lakezone,Loarengak,Napeget Co Ltd,15-May,16-Feb,"6,000,000.00",-,90%,Yes,Work complete save for fencing.project ready for commissioning,
"EDUCATION, CULTURE AND SOCIAL SERVICES",Nakapelewoi 2013/14,N 04° 19.062' E 035° 26.075' /632 M,"3,500,000",Kaaleng/Kaikor,Nakapelewoi,Loitangole Investment,,,"3,500,000.00",-,100%,No,Client to address the defects on the windows and doors,
"ROADS, PUBLIC WORKS, ICT AND TRANSPORT",routine kachoda-riokomor road 2014/2015,N 04° 19.290' E 035° 40.458' /569 M,"2,272,788",Lapur,Kachoda Rokomor Road,Jerman Contractors,42044,42249,,,0.95,Yes,Operational,
